"ID"	"ID_SwissFIR"	"Category"	"Density"	"Matrix_unit_Density"	"Energy_kilojoules"	"Energy_kilocalories"	"Fat_total"	"Fatty_acids_saturated"	"Fatty_acids_monounsaturated"	"Fatty_acids_polyunsaturated"	"Cholesterol"	"Carbohydrates_available"	"Sugars"	"Starch"	"Dietary_fibres"	"Protein"	"Salt_NaCl"	"Alcohol"	"Water"	"Vitamin_A_activity_RE"	"Vitamin_A_activity_RAE"	"All-trans_retinol_equivalents"	"Beta-carotene_activity"	"Beta-carotene"	"Vitamin_B1_thiamine"	"Vitamin_B2_riboflavin"	"Vitamin_B6_pyridoxine"	"Vitamin_B12_cobalamin"	"Niacin"	"Folate"	"Panthotenic_acid"	"Vitamin_C_ascorbic_acid"	"Vitamin_D_calciferol"	"Vitamin_E_activity"	"Potassium_K"	"Sodium_Na"	"Chloride_Cl"	"Calcium_Ca"	"Magnesium_Mg"	"Phosphorus_P"	"Iron_Fe"	"Iodide_I"	"Zinc_Zn"	"Selenium_Se"	"Record_has_changed"	"FileVersion"	"Branded"	"Language"
33	812075	34	0	0	909.00	219.00	15.70	6.80	6.40	0.70	54.00	0.00	0.00	0.00	0.00	19.30	0.10	0.00	61.00	7.00	6.00	0.00	10.00	10.00	0.04	0.13	0.53	1.40	7.00	6.00	0.72	0.00	0.50	0.26	310.00	38.00	54.00	3.90	17.00	170.00	1.30	3.00	3.30	44.00	0	200	0	0.00
34	812076	34	0	0	447.00	106.00	1.80	0.80	0.80	0.30	52.00	0.00	0.00	0.00	0.00	22.40	0.10	0.00	73.80	7.00	6.00	0.00	10.00	10.00	0.02	0.12	0.63	1.40	0.00	6.00	0.72	0.00	0.50	0.90	380.00	39.00	54.00	5.10	20.00	190.00	1.00	3.00	2.80	8.00	0	200	0	0.00
35	812077	34	0	0	946.00	227.00	16.60	7.00	7.60	1.00	53.00	0.00	0.00	0.00	0.00	19.50	0.20	0.00	61.70	7.00	6.00	0.00	10.00	10.00	0.04	0.13	0.53	1.40	7.00	6.00	0.74	0.00	0.50	0.26	300.00	60.00	54.00	4.10	18.00	160.00	1.20	3.00	3.50	0.00	0	200	0	0.00
36	812078	34	0	0	555.00	132.00	5.50	2.50	2.20	0.50	59.00	0.00	0.00	0.00	0.00	20.70	0.10	0.00	71.20	7.00	6.00	0.00	10.00	10.00	0.04	0.13	0.55	1.40	0.00	6.00	0.74	0.00	0.50	0.26	320.00	57.00	54.00	4.40	18.00	180.00	1.70	3.00	4.90	0.00	0	200	0	0.00
37	812080	34	0	0	433.00	102.00	1.50	0.60	0.60	0.30	56.00	0.00	0.00	0.00	0.00	22.20	0.10	0.00	74.00	7.00	6.00	0.00	10.00	10.00	0.08	0.13	0.26	1.40	5.03	6.00	0.74	0.00	0.50	0.26	360.00	44.00	50.00	4.20	20.00	190.00	1.40	3.00	3.50	7.60	0	200	0	0.00
38	812081	34	0	0	409.00	97.00	1.30	0.60	0.60	0.30	54.00	0.00	0.00	0.00	0.00	21.20	0.10	0.00	74.20	7.00	6.00	0.00	10.00	10.00	0.01	0.12	0.42	1.40	0.00	6.00	0.74	0.00	0.50	0.26	350.00	49.00	50.00	3.90	18.00	180.00	1.20	3.00	3.70	6.00	0	200	0	0.00
39	812082	62	0	0	993.00	239.00	18.60	7.20	8.90	1.80	59.00	0.00	0.00	0.00	0.00	17.90	0.10	0.00	61.40	3.00	3.00	3.00	0.00	0.00	0.70	0.31	0.51	0.70	5.00	2.00	0.89	0.00	0.40	0.27	310.00	54.00	67.00	6.00	19.00	170.00	0.70	1.10	2.20	0.00	0	200	0	0.00
40	812084	62	0	0	562.00	134.00	5.40	1.60	2.20	0.60	66.00	0.00	0.00	0.00	0.00	21.30	0.10	0.00	72.70	3.00	3.00	3.00	0.00	0.00	0.60	0.13	0.68	0.70	4.30	2.00	0.78	0.00	0.40	0.27	340.00	48.00	56.00	4.30	20.00	190.00	0.70	1.00	2.40	10.00	0	200	0	0.00
41	812085	62	0	0	843.00	203.00	14.10	5.50	6.50	1.40	60.00	0.00	0.00	0.00	0.00	18.90	0.10	0.00	65.40	3.00	3.00	3.00	0.00	0.00	0.90	0.10	0.44	0.70	0.00	2.00	0.89	0.00	0.40	0.27	330.00	47.00	66.00	3.80	18.00	180.00	0.90	1.10	2.80	16.00	0	200	0	0.00
42	812087	62	0	0	578.00	138.00	5.10	2.00	2.40	0.60	56.00	0.00	0.00	0.00	0.00	22.90	0.10	0.00	69.50	3.00	3.00	3.00	0.00	0.00	0.90	0.10	0.59	0.70	0.00	2.00	0.89	0.00	0.40	0.27	370.00	38.00	66.00	3.70	21.00	200.00	0.40	1.20	1.30	13.00	0	200	0	0.00
