"ID"	"Link"	"Alias"	"Lang"	"Primary"	"FileVersion"
318	13345	"Fish (average), filet, steamed (without addition of fat and salt)"	"E"	1	200
319	1098	"Fish (average), raw"	"E"	1	200
320	773	"Fish fingers (sticks), breaded and pre deep fried"	"E"	1	200
321	1168	"Fish fingers/sticks (breaded and pre deep fried), fried in HOLL rapeseed oil"	"E"	1	200
322	1169	"Fish fingers/sticks (breaded and pre deep fried), oven baked (without addition of fat)"	"E"	1	200
323	760	"Fish, hake, raw"	"E"	1	200
324	415	"Fish, plaice, raw"	"E"	1	200
325	754	"Fish, pollock, raw"	"E"	1	200
326	414	"Fish product, anchovy in oil, drained"	"E"	1	200
327	413	"Fish product, sardine in oil, drained"	"E"	1	200
328	757	"Fish, sardine, raw"	"E"	1	200
329	755	"Fish, sole, raw"	"E"	1	200
330	756	"Fish, tuna, raw"	"E"	1	200
331	1185	"Flat white (little milk), no sugar added"	"E"	1	200
332	1186	"Flat white (much milk), no sugar added"	"E"	1	200
333	1187	"Flat white, no sugar added"	"E"	1	200
334	13405	"Flaxseed oil, cold pressed"	"E"	1	200
335	13405	"Linseed oil"	"E"	0	200
336	13351	"Flounder, filet, steamed (without addition of fat and Salt)"	"E"	1	200
337	481	"Flounder, raw"	"E"	1	200
338	1135	"Flour (average)"	"E"	1	200
339	1524	"Flour omelette filled with mushrooms, prepared"	"E"	1	200
340	1525	"Flour omelette filled with vegetables, prepared"	"E"	1	200
341	1522	"Flour omelette, prepared"	"E"	1	200
342	1527	"Flour omelette with bacon, prepared"	"E"	1	200
343	1523	"Flour omelette with cheese, prepared"	"E"	1	200
344	1526	"Flour omelette with ham, prepared"	"E"	1	200
345	1695	"Flour omelette with Nutella, prepared"	"E"	1	200
346	1694	"Flour omelette with sugar and cinnamon, prepared"	"E"	1	200
347	1136	"Flour, white and semi-white (average)"	"E"	1	200
348	1475	"Fondue moitié-moitié, prepared"	"E"	1	200
349	797	"Fondue, prepared"	"E"	1	200
350	1476	"Fondue without alcohol, prepared"	"E"	1	200
351	10450	"French fries (baked in the oven), unsalted"	"E"	1	200
352	10449	"French fries (deep fried in HO sunflower oil), unsalted"	"E"	1	200
353	818	"French fries for oven, deep-frozen"	"E"	1	200
354	1500	"French omelette, prepared"	"E"	1	200
355	1503	"French omelette with bacon, prepared"	"E"	1	200
356	1502	"French omelette with cheese, prepared"	"E"	1	200
357	1501	"French omelette with ham, prepared"	"E"	1	200
358	1504	"French pizza from Alsace, baked"	"E"	1	200
359	1515	"French toast unsweetened"	"E"	1	200
360	1120	"Fruit (average), dried"	"E"	1	200
361	1130	"Fruit juice (average), no sugar added"	"E"	1	200
362	1131	"Fruit juice diluted (average, 60% juice - 40% water), no sugar added"	"E"	1	200
363	10456	"Fruit pie (average)"	"E"	1	200
364	10454	"Fruit pie with cake dough (average)"	"E"	1	200
365	10453	"Fruit pie with puff pastry (average)"	"E"	1	200
366	10455	"Fruit pie with sweet short pastry base (average)"	"E"	1	200
367	775	"Fruit salad, sweetened, canned"	"E"	1	200
368	777	"Fruit salad, unsweetened, canned"	"E"	1	200
369	1124	"Fruits (average), cooked (without addition of sugar)"	"E"	1	200
370	1123	"Fruits, raw (average)"	"E"	1	200
371	13281	"Game meat (average), cuite (without addition of fat and Salt)"	"E"	1	200
372	1125	"Game meat (average), raw"	"E"	1	200
373	356	"Garlic, raw"	"E"	1	200
374	768	"Glucose"	"E"	1	200
375	687	"Goat (average), raw"	"E"	1	200
376	528	"Goat milk"	"E"	1	200
377	400	"Gooseberry, raw"	"E"	1	200
378	483	"Gorgonzola"	"E"	1	200
379	684	"Goulash soup"	"E"	1	200
380	478	"Grape, fresh"	"E"	1	200
381	388	"Grapefruit (white or red), raw"	"E"	1	200
382	573	"Grape juice"	"E"	1	200
383	592	"Grape seed oil"	"E"	1	200
384	669	"Graubünden barley soup"	"E"	1	200
385	651	"Gravy, brown"	"E"	1	200
386	650	"Gravy, thickened"	"E"	1	200
387	1009	"Green bean, steamed (without addition of salt)"	"E"	1	200
388	369	"Green pea, raw"	"E"	1	200
389	815	"Green peas and carrots, canned"	"E"	1	200
390	1034	"Green peas and carrots (canned), heated (without addition of salt)"	"E"	1	200
391	630	"Green peas, canned"	"E"	1	200
392	1011	"Green peas (canned), heated (without addition of salt)"	"E"	1	200
393	1010	"Green pea, steamed (without addition of salt)"	"E"	1	200
394	530	"Greyerzer, at least 45% fidm"	"E"	1	200
395	1272	"Grittibänz (Swiss bread man)"	"E"	1	200
396	653	"Ground meat sauce"	"E"	1	200
397	753	"Halibut, raw"	"E"	1	200
398	691	"Ham, cooked"	"E"	1	200
399	693	"Ham, raw"	"E"	1	200
400	1193	"Hard and semi hard cheese, full fat (average)"	"E"	1	200
401	952	"Hard caramels"	"E"	1	200
402	13329	"Hare (Durchschnitt), cooked (without addition of fat and salt)"	"E"	1	200
403	16	"Hare, filet, raw"	"E"	1	200
404	486	"Hare, fresh"	"E"	1	200
405	686	"Hare, meat, raw"	"E"	1	200
406	270	"Hazelnut"	"E"	1	200
407	703	"Hazelnut-chocolate spread"	"E"	1	200
408	903	"Hazelnut cookie"	"E"	1	200
409	869	"Hazelnut macaroon"	"E"	1	200
410	666	"Hollandaise sauce"	"E"	1	200
411	399	"Honeydew melon, raw"	"E"	1	200
412	472	"Honey, from flowers"	"E"	1	200
413	13328	"Horse, filet, pan fried (without addition of fat and salt)"	"E"	1	200
414	685	"Horse, filet, raw"	"E"	1	200
415	1670	"Horse ragout with sauce, prepared"	"E"	1	200
416	1590	"Hot Dog in white bread with ketchup and mustard"	"E"	1	200
417	652	"Huntsman sauce"	"E"	1	200
418	459	"Iceberg lettuce, raw"	"E"	1	200
419	694	"Ice cream, dairy, fruit"	"E"	1	200
420	804	"Ice Tea, sweetened"	"E"	1	200
421	696	"Jam"	"E"	1	200
422	697	"Jam, low calorie, with sweetener"	"E"	1	200
423	951	"Jelly babies with fruit essence"	"E"	1	200
424	583	"Kakaobutter"	"E"	1	200
425	393	"Kaki, raw"	"E"	1	200
426	13400	"Kale, raw"	"E"	1	200
427	13401	"Kale, stewed (without addition of salt and fat)"	"E"	1	200
428	1572	"Kebab in pita bread"	"E"	1	200
429	635	"Ketchup"	"E"	1	200
430	395	"Kiwi fruit, raw"	"E"	1	200
431	449	"Kohlrabi, raw"	"E"	1	200
432	1014	"Kohlrabi, steamed (without addition of salt)"	"E"	1	200
433	852	"Ladyfinger cookie"	"E"	1	200
434	1110	"Lamb (average excluding offal, chop), raw"	"E"	1	200
435	13304	"Lamb, leg, roast (without addition of fat and salt)"	"E"	1	200
436	19	"Lamb, ragout, raw (Switzerland)"	"E"	1	200
